id,name,text
angel_arena,天使竞技场,"当天使竞技场被安装时，放置X枚能量指示物到本卡牌上。当天使竞技场上没有能量指示物时，销毁本卡牌。
<strong>所附载的能量指示物</strong>: 展示你存储栈顶端的一张卡牌。你可以将该卡牌加入你的存储栈底端。"
angelique_garza_correa,安吉丽克·加尔萨·科雷亚,"威胁3 → [click]，<strong>1</strong>[credit]，<strong>从总部展示并销毁本升级:</strong> 造成1点肢体伤害。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>
当潜袭者读取已激活的本升级时，你可以花费2[credit]以造成2点肢体伤害。"
aniccam,诸行无常,"+1[mu]
每回合第一次一个事件被销毁时<em>(无论从什么位置)</em>，抽1张卡牌。
每位玩家限制1个<strong>控制台</strong>。"
ankusa,金刚钩,"在一次遭遇中，如果你使用金刚钩破解一个<strong>屏障</strong>上的所有子进程，将该<strong>屏障</strong>加入总部。
2[credit]: 破解<strong>屏障</strong>子进程。
1[credit]: 强度+1。"
anoetic_void,无明虚空,每当潜袭者接驳本服务器时，你可以支付2[credit]并从总部销毁2张卡牌。如果你如此做，终止本次潜袭。
anonymous_tip,,
another_day_another_paycheck,新的一天，新的报酬,"本卡牌打出后不会被销毁，直到另一个<strong>局势</strong>被打出或一个议案被计分。
每当你窃取一个议案时，迫使公司“<trace>追踪 0</trace> 如果失败，潜袭者获得与双方玩家分数区中的议案分数相等的信用点。”"
ansel_1_0,安塞尔1.0,"<strong>失去[click]:</strong> 破解1条本防火墙上的子进程。只有潜袭者可以使用本能力。
[subroutine] 销毁1张已安装的潜袭者卡牌。
[subroutine] 你可以从总部或档案库安装1张卡牌。
[subroutine] 本次潜袭的剩余时间内，潜袭者不能窃取或销毁公司卡牌。"
anson_rose,安森·罗斯,"当你的回合开始时，放置1枚推进标记到安森·罗斯上。
每当你激活一层防火墙时，你可以从安森·罗斯上转移任意数量的推进标记到该防火墙上。"
anvil,铁砧,"当潜袭者遭遇本防火墙时，你可以销毁另1张你已安装的卡牌。如果你如此做，潜袭者在本次遭遇的剩余时间内不能破解本防火墙上的印刷子进程。
[subroutine] 获得1[credit]。潜袭者失去1[credit]。
[subroutine] 潜袭者销毁1张其已安装的卡牌。"
apex_invasive_predator,尖峰: 侵袭掠食者,"你不能安装非<strong>虚拟</strong>资源。
当你的回合开始时，你可以从你的操控器面朝下安装一张卡牌。"
api_s_keeper_isobel,,
apocalypse,大灾变,"如果你本回合已对研发中心、总部和档案库均进行过成功的潜袭，才能打出。
销毁所有已安装的公司卡牌。将所有已安装的潜袭者卡牌翻转至面朝下。"
ar_enhanced_security,,
archangel,大天使,"如果大天使从研发中心被读取，潜袭者必须展示它。
当潜袭者读取大天使时，如果你支付3[credit]，他/她立即遭遇它。如果潜袭者从档案库读取大天使，则忽略本能力。
[subroutine] <trace>追踪 6</trace> 如果成功，将一张已安装的潜袭者卡牌加入他/她的操控器。"
archer,射手,"作为激活本防火墙的额外费用，废除1个议案。
[subroutine] 获得2[credit]。
[subroutine] 销毁1个已安装的程序。
[subroutine] 销毁1个已安装的程序。
[subroutine] 终止本次潜袭。"
architect,建筑师,"当建筑师已安装时，其不能被销毁。
[subroutine] 公司查看研发中心顶端的五张卡牌并可以安装其中一张卡牌，忽略所有的安装费用。
[subroutine] 公司可以从档案库或总部安装一张卡牌（支付所有的费用）。"
architect_deployment_test,建筑师部署测试,当你将本议案计分时，查看研发中心顶端的5张卡牌。你可以安装并激活其中的1张，忽略所有的费用。
archived_memories,归档的记忆,将1张卡牌从档案库加入总部。
archives_interface,档案库接口,每当你读取档案库中的卡牌时，你可以将档案库中的一张卡牌移出游戏，代替读取该卡牌。
arella_salvatore,,
argus_crackdown,阿戈斯镇压,"只有当前没有正在生效的<strong>封锁</strong>时，才能打出。直到你的下回合开始前，本事务不会被销毁。
每当潜袭者对一台有防火墙保护的服务器进行一次成功的潜袭时，造成2点肢体伤害。"
argus_security_protection_guaranteed,阿戈斯防卫所: 安全无忧,每当潜袭者窃取一个议案时，他/她必须拿取1枚锁定标记或受到2点肢体伤害。
arissana_rocha_nahu_street_artist,阿里萨娜·罗查·纳胡: 街头艺术家,<strong>0[credit]:</strong> 从你的操控器安装1个程序<em>（支付所有的费用）</em>。本能力每回合仅限使用一次，且仅能在潜袭中使用。当本次潜袭结束时，如果该程序不是<strong>木马</strong>，销毁该程序。
ark_lockdown,封锁方舟,指定一张卡牌的名称。将堆阵中其所有相同卡牌移出游戏。
armand_geist_walker_tech_lord,阿曼德·“游魂”·沃克: 科技之王,每当你使用一个[trash]能力时，补一张卡牌。
armed_asset_protection,武装资产保护,获得3[credit]。档案库中牌面朝上的卡牌中每有1种卡牌类型，获得1[credit]。如果这些卡牌中有议案，再获得2[credit]。
armed_intimidation,,
armitage_codebusting,,
armored_servers,,
arruaceiras_crew,暴力团伙,"<strong拿取1枚锁定标记:</strong> 本次遭遇的剩余时间内，当前正在遭遇的防火墙的强度-2。本能力每回合仅限使用一次。
[trash]，<strong>2[credit]:</strong> 如果当前正在遭遇的防火墙的强度等于或小于0，销毁该防火墙。"
artificial_cryptocrash,币圈洗盘,当你将本议案计分时，潜袭者失去7[credit]。
artist_colony,艺术家庄园,<strong>废除一个议案</strong>: 在你的存储栈搜寻一张卡牌并安装它（支付安装费用）。将你的存储栈重洗。
aryabhata_tech,阿耶波多科技,每当有一次成功的追踪时，获得1[credit]并且潜袭者失去1[credit]。
asa_group_security_through_vigilance,,
ash_2x3zb9cy,,
ashen_epilogue,灰白终章,"将你的操控器与堆阵洗入你的存储栈，然后将你的存储栈顶端的5张卡牌移出游戏。抽5张卡牌。
将本事件移出游戏。"
ashigaru,足轻,总部中每有一张卡牌，足轻获得“[subroutine] 终止本次潜袭。”
asmund_pudlat,阿斯蒙德·普德拉特,"当你安装本资源时，从你的存储栈搜寻最多2张名称不同的<strong>病毒</strong>或<strong>武器</strong>卡牌。将这些卡牌牌面朝上附载到本资源上。<em>（它们没有被安装。）</em>
当你的回合开始时，你可以将1张所附载的卡牌加入你的操控器。如果已经没有所附载的卡牌，销毁本资源。"
assassin,刺客,"[subroutine] <trace>追踪 5</trace> 如果成功，造成3点网域伤害。
[subroutine] <trace>追踪 4</trace> 如果成功，销毁一个程序。"
assimilator,,
asteroid_belt,小行星带,"小行星带能被推进，并且其上每有1枚推进标记，其激活费用减3。
[subroutine] 终止本次潜袭。"
astrolabe,星象仪,"+1[mu]
每当公司建立一台服务器时，补一张卡牌。
每位玩家限制1个<strong>控制台</strong>。"
astroscript_pilot_program,神符实验项目,"当你用神符实验项目计分时，放置1枚议案指示物到本卡牌上。
<strong>所附载的议案指示物</strong>: 放置1枚推进标记到一张能被推进的卡牌上。
每套牌组限制1张。
<errata>勘误自FAQ 3.1</errata>"
atman,梵灵,"当你安装本程序时，你可以支付X[credit]，以放置X枚能量指示物到本程序上。
每有1枚所附载的能量指示物，本程序的强度+1，且本程序只能与强度与其相等的防火墙对接。
对接 → <strong>1[credit]:</strong> 破解1条子进程。"
attini,切叶蚁,"威胁3 → 在结算本防火墙上的子进程期间，潜袭者不能花费信用点。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>
[subroutine] 造成1点网域伤害，除非潜袭者支付2[credit]。
[subroutine] 造成1点网域伤害，除非潜袭者支付2[credit]。
[subroutine] 造成1点网域伤害，除非潜袭者支付2[credit]。"
attitude_adjustment,,
au_revoir,后会有期,每当你退出时，获得1[credit]。
audacity,,
audrey_v2,“吸血花”奥黛丽v2,"每当你销毁一张你正在读取的卡牌时，放置1枚病毒指示物到本程序上。
对接 → <strong>所附载的病毒指示物:</strong> 破解最多2条子进程。
<strong>从你的操控器销毁1张卡牌:</strong> 强度+3。"
aumakua,,
aurora,,
authenticator,,
autoscripter,自动脚本仪,"在你的回合中，你第一次从你的操控器安装一个程序时，获得[click]。
如果你进行了失败的潜袭，销毁自动脚本仪。"
avgustina_ivanovskaya,奥古斯蒂娜·伊万诺夫斯卡娅,每回合你第次安装一个<strong>病毒</strong>程序时，破坏1。<em>（公司选择从总部或研发中心顶端销毁1张卡牌。）</em>
awakening_center,觉醒的中枢,"觉醒的中枢能被附载<strong>生化人</strong>防火墙（每层防火墙牌面朝下安装，忽略所有的安装费用）。
每当潜袭者通过保护本服务器的所有防火墙时，你可以激活觉醒的中枢上的一层防火墙，其激活费用减7[credit]，以迫使潜袭者遭遇它。在本次潜袭完成后，销毁该防火墙。"
award_bait,冲奖作品,"如果冲奖作品从研发中心被读取，潜袭者必须展示它。
当潜袭者读取冲奖作品时，你可以放置最多2枚推进标记到一张能被推进的卡牌上。"
ayla_bios_rahim_simulant_specialist,艾拉·“生命”·拉辛: 拟态专家,"在你抽初始手牌前，将你的存储栈顶端6张卡牌面朝下置于一旁。<em>（你可以随时查看这些卡牌。）</em> 将其中2张卡牌洗入你的存储栈。
[click]<strong>:</strong> 将1张由本特性置于一旁的卡牌加入你的操控器。"
az_mccaffrey_mechanical_prodigy,阿兹·麦卡弗瑞: 机械奇才,每回合你安装的第一个<strong>工作</strong>资源、<strong>人脉</strong>资源或硬件的安装费用减1[credit]。
azef_protocol,阿泽夫协议,"作为将本议案计分的额外费用，销毁另1张你已安装的卡牌。
当你将本议案计分时，造成2点肢体伤害。"
azmari_edtech_shaping_the_future,,
b_1001,B-1001,<strong>移除1枚锁定标记:</strong> 终止本次潜袭。在对本服务器的潜袭中，你不能使用本能力。
baba_yaga,雅加婆婆,"你可以附载任意数量的非<strong>智能模块破解器</strong>到雅加婆婆上。
雅加婆婆获得所有所附载的<strong>破解器</strong>的付费能力。"
back_channels,秘密渠道,销毁安装在一台服务器内的一张卡牌，并且该卡牌上每有1枚推进标记，获得3[credit]。
backroom_machinations,密室阴谋,"作为打出本事务的额外费用，移除1枚锁定标记。
将本事务加入你的分数区，作为一个价值1点议案分数的议案。"
backstitching,回针绣,"当你的回合开始时，发现你的目标。<em>（如果你没有目标，一台随机的中央服务器成为你本回合的目标。）</em>
在对你目标的潜袭中，每当你遭遇一层防火墙时，你可以销毁本资源以略过该防火墙。"
bacterial_programming,,
bad_times,难关,"如果潜袭者被锁定，才能打出。
潜袭者的内存上限减2，直到本回合结束。"
bahia_bands,巴伊亚手环,潜袭任意一台服务器。如果成功，按任意顺序结算下列中的2项:<ul><li>抽2张卡牌。</li><li>从你的操控器安装1张卡牌，其安装费用减1[credit]。</li><li>移除1枚锁定标记。</li><li>放置4[credit]到本事件上。在本次潜袭的剩余时间内，你可以花费所附载的信用点以支付销毁费用。</li></ul>
bailiff,执达吏,"每当潜袭者破解执达吏上的一个子进程时，获得1[credit]。
[subroutine] 终止本次潜袭。"
baklan_bochkin,“鸬鹚”·博奇金,"每次潜袭你第一次遭遇一层防火墙时，放置1枚能量指示物到本资源上。
[trash]<strong>，X枚所附载的能量指示物:</strong> 如果当前遭遇的防火墙的强度小于或等于X，关闭该防火墙。拿取1枚锁定标记。"
balanced_coverage,均衡播报,当你的回合开始时，你可以选择一种卡牌类型，以查看研发中心顶端的卡牌。如果该卡牌具有所选择的类型，你可以展示之并获得2[credit]。
ballista,弩炮,[subroutine] 销毁1个已安装的程序或终止本次潜袭。
bamboo_dome,,
bandwidth,带宽,[subroutine] 给予潜袭者1枚锁定标记。如果本次潜袭成功，潜袭者移除1枚锁定标记。
bank_job,,
bankroll,,
banner,旗帜,对接 → <strong>2[credit]:</strong> 本次遭遇的剩余时间内，当前正在遭遇的<strong>屏障</strong>上的子进程不能终止本次潜袭。
basilar_synthgland_2kvj,基底动脉合成腺体2KVJ,"当你安装本硬件时，受到2点核心伤害。
每回合你获得的[click]数量+1。"
bass_ch1r180g4,巴斯 7里8加,[click]，<strong>[trash]:</strong> 获得[click][click]。
bastion,棱堡,[subroutine] 终止本次潜袭。
bathynomus,大王具足虫,"只要本防火墙保护档案库，其强度便+3。
[subroutine] 造成3点网域伤害。"
battering_ram,,
battlement,,
bazaar,巴扎,每当你从你的操控器安装一个硬件时，你可以从你的操控器安装另一个相同的硬件（支付所有的费用）。
beach_party,海滩派对,"当你的回合开始时，失去[click]。
你的手牌上限+5。"
beanstalk_royalties,,
beatriz_friere_gonzalez,碧翠丝·弗里尔·冈萨雷斯,[click][click]<strong>:</strong> 潜袭总部。如果成功，侵入研发中心，代替侵入总部。当你如此做时，额外读取1张卡牌。
because_i_can,,
begemot,别格莫特,"当你安装本程序时，受到1点核心伤害。
你本局游戏中每受到过1点核心伤害，本程序的强度+1。
对接 → <strong>1[credit]:</strong> 破解任意数量的<strong>屏障</strong>子进程。"
behold,看啊!,"在潜袭者从研发中心读取本资产的期间，其必须展示之。
当潜袭者从档案库以外其他区域读取本资产时，你可以支付4[credit]，以给予其2枚锁定标记。"
bellona,贝罗娜,"作为窃取本议案的额外费用，潜袭者必须支付5[credit]。
当你将本议案计分时，获得5[credit]。"
ben_musashi,武藏弁,每次潜袭者从本服务器读取一个议案时，他/她必须受到2点网域伤害作为额外的费用才能窃取。即使潜袭者在本次潜袭中销毁武藏弁，本能力依然有效。
bernice_mai,,
berserker,,
best_defense,最佳防御,销毁一张已安装的卡牌，该卡牌的安装费用等于或小于潜袭者所具有的锁定标记数量。
beth_kilrain_chang,贝丝·吉兰-张,"如果当你的回合开始时，公司具有5-9[credit]，获得1[credit]。
如果当你的回合开始时，公司具有10-14[credit]，补一张卡牌。
如果当你的回合开始时，公司具有至少15[credit]，获得[click]。"
better_citizen_program,,
bhagat,巴格特,每回合你第一次对总部进行成功的潜袭时，迫使公司销毁研发中心顶端的一张卡牌。
biased_reporting,,
bifrost_array,彩虹桥阵列,当你用彩虹桥阵列计分时，你可以触发你分数区中另一个除彩虹桥阵列以外的议案的“计分时”能力。
big_brother,老大哥,"如果潜袭者被锁定，才能打出。
给予潜袭者2枚锁定标记。"
big_deal,大手笔,"在你结算本事务后，结束你的行动阶段。
放置4枚推进指示物到1张已安装的卡牌上。如可能，你可以将该卡牌计分。
将本事务移出游戏。"
bio_ethics_association,生命伦理学协会,当你的回合开始时，如果没有防火墙保护本服务器，造成1点网域伤害。
bio_modeled_network,生物建模网络,[trash]: 防止除1点以外的其余所有网域伤害。
bio_vault,,
biometric_spoofing,,
bioroid_efficiency_research,生化人效率研究,激活一层<strong>生化人</strong>防火墙，忽略所有的费用，并将生化人效率研究安装到该防火墙上，作为所附载的状态指示物，规则文字为“在一次遭遇中，如果被附载的防火墙上的所有子进程被破解，销毁生化人效率研究并关闭被附载的防火墙。”
bioroid_work_crew,,
biotic_labor,生化人劳工,获得[click][click]。
bishop,象,"[click]: 将象附载到一层未被<strong>西洋棋</strong>附载的防火墙上。如果象已附载，并且象在保护远程服务器的防火墙上，则仅能再附载到保护中央服务器的防火墙上；如果象在保护中央服务器的防火墙上，则仅能再附载到保护远程服务器的防火墙上。
被附载的防火墙的强度减2。"
black_hat,,
black_level_clearance,黑色许可,每当本服务器进行了成功的潜袭时，潜袭者必须承受1点脑部伤害或退出。如果潜袭者退出，获得5[credit]，补一张卡牌并销毁黑色许可。
black_orchestra,黑色乐团,"每当你遭遇一个<strong>门禁</strong>时，你可以从你的堆阵安装黑色乐团（支付其安装费用）。
3[credit]: 强度+2。如可能，破解最多2个<strong>门禁</strong>子进程。"
blackat,黑猫,"1[credit]: 破解1个<strong>屏障</strong>子进程（或如果你花费<strong>隐匿</strong>卡牌上的信用点，则破解最多3个子进程）。
2[credit]: 强度+1（或如果你花费<strong>隐匿</strong>卡牌上的至少1信用点，则强度+2）。"
blackguard,黑暗卫士,"+2[mu]
每当你揭示一张卡牌时，如可能，公司必须支付其激活费用来激活它。
每位玩家限制1个<strong>控制台</strong>。"
blacklist,黑名单,卡牌不能因任何原因离开潜袭者的堆阵。
blackmail,勒索,"如果公司具有至少1枚负面声誉标记，才能打出。
进行一次潜袭。在本次潜袭中公司不能激活防火墙。"
blackstone,布莱克斯通,"1[credit]: 破解<strong>屏障</strong>子进程。
3[credit]: 本次潜袭的剩余时间内强度+4。仅能花费<strong>隐匿</strong>卡牌上的至少1信用点来使用本能力。"
bladderwort,狸藻,当你的回合开始时，获得1[credit]。然后，如果你具有4[credit]或更少，造成1点网域伤害。
blockade_runner,禁区偷运者,"[click], [click]: 补三张卡牌。将一张卡牌从你的操控器洗入你的存储栈。"
blockchain,,
bloo_moose,,
blood_in_the_water,血诱,X等于潜袭者操控器中的卡牌数量。
bloodletter,,
bloom,,
bloop,海洋怪声,"作为激活本防火墙的额外费用，关闭另一层<strong>和声</strong>防火墙。
[subroutine] 造成1点核心伤害。
[subroutine] 销毁1个已安装的程序。
[subroutine] 销毁1个已安装的程序。"
blue_level_clearance,,
blue_sun_powering_the_future,,
blueberry_diesel,蓝莓味迪燃,查看你的存储栈顶端的2张卡牌。你可以将其中的1张加入你的存储栈底端。抽2张卡牌。
bmi_buffer,,
bmi_buffer_2,,
boi_tata,波伊塔塔,"如果你本回合已销毁过你已安装的卡牌，本程序上的付费能力的费用减1[credit]。
对接 → <strong>2[credit]:</strong> 破解最多2条<strong>警报</strong>子进程。
<strong>3[credit]:</strong> 强度+3。"
bookmark,书签,"[click]: 从你的操控器面朝下附载最多三张卡牌到书签上（你可以在任意时刻查看这些卡牌）。
[click]或[trash]: 将书签上的所有卡牌加入你的操控器。"
boom,轰！,"如果潜袭者具有至少2枚锁定标记，才能打出。
作为打出本事务的额外费用，花费[click]。
造成7点肢体伤害。"
